Offer_ID,Offer_Name,Category,Merchant_ID,Cashback_Percentage,Reward_Points,Offer_Start_Date,Offer_End_Date
OFFER_001,First Time User: Get 5% Cashback at Local Pub,Dining_Out,MERCH_1410,5,0,2025-02-25,2025-11-22
OFFER_002,First Time User: Earn 500 Reward Points at Inox,Entertainment,MERCH_1550,0,500,2025-08-01,2025-12-04
OFFER_003,Festive Special: Get 20% Cashback at Zepto,Grocery,MERCH_1947,20,0,2024-11-21,2025-07-18
OFFER_004,Mega Rewards: Earn 500 Reward Points at Taj Dining,Dining_Out,MERCH_0223,0,500,2025-03-26,2025-11-13
OFFER_005,Mega Rewards: Get 10% Cashback at Netflix Premium,Subscription,MERCH_1134,10,0,2025-04-12,2026-03-19
OFFER_006,Exclusive Deal: Get 10% Cashback at Cred RentPay,Rent,MERCH_1275,10,0,2025-04-13,2026-01-19
OFFER_007,Mega Rewards: Earn 500 Reward Points at Amazon Prime,Entertainment,MERCH_1115,0,500,2025-04-16,2025-12-03
OFFER_008,Exclusive Deal: Earn 500 Reward Points at Youtube Premium,Subscription,MERCH_1782,0,500,2024-12-09,2025-11-02
OFFER_009,Exclusive Deal: Get 15% Cashback at Indian Oil,Fuel,MERCH_1194,15,0,2025-03-13,2025-12-27
OFFER_010,Weekend Bonanza: Earn 200 Reward Points at Indigo,Travel,MERCH_1262,0,200,2025-05-05,2025-10-20
OFFER_011,Exclusive Deal: Earn 1000 Reward Points at Local Tailor,Other,MERCH_0366,0,1000,2025-06-23,2025-09-29
OFFER_012,First Time User: Earn 1000 Reward Points at Youtube Premium,Subscription,MERCH_1782,0,1000,2025-02-01,2025-05-08
OFFER_013,First Time User: Get 10% Cashback at BYJU'S,Education,MERCH_1767,10,0,2025-08-02,2026-01-13
OFFER_014,Weekend Bonanza: Get 5% Cashback at Indian Oil,Fuel,MERCH_0788,5,0,2024-12-20,2025-07-08
OFFER_015,First Time User: Get 20% Cashback at Bharat Petroleum,Fuel,MERCH_1795,20,0,2025-01-05,2025-09-21
OFFER_016,Festive Special: Get 10% Cashback at Gift Gallery,Other,MERCH_0801,10,0,2025-01-20,2025-09-10
OFFER_017,Super Cashback: Get 10% Cashback at Reliance Petroleum,Fuel,MERCH_1120,10,0,2025-01-06,2025-09-02
OFFER_018,Weekend Bonanza: Get 5% Cashback at H&M,Shopping,MERCH_1593,5,0,2025-07-09,2026-02-08
OFFER_019,Super Cashback: Earn 1000 Reward Points at Local Kirana,Grocery,MERCH_1491,0,1000,2025-02-15,2025-08-21
OFFER_020,Mega Rewards: Earn 500 Reward Points at Smaaash,Entertainment,MERCH_1477,0,500,2025-08-26,2025-11-05
OFFER_021,Mega Rewards: Earn 200 Reward Points at Municipal Water,Utility,MERCH_0656,0,200,2024-11-06,2025-04-22
OFFER_022,Exclusive Deal: Get 10% Cashback at Local Tailor,Other,MERCH_1526,10,0,2025-06-16,2026-04-02
OFFER_023,Super Cashback: Earn 500 Reward Points at Starbucks,Food,MERCH_1147,0,500,2024-12-15,2025-10-09
OFFER_024,Festive Special: Earn 1000 Reward Points at Booking.com,Travel,MERCH_1545,0,1000,2025-07-15,2025-11-12
OFFER_025,Weekend Bonanza: Get 5% Cashback at NPS Contribution,Investment,MERCH_1119,5,0,2025-05-13,2025-11-03
OFFER_026,Super Cashback: Get 5% Cashback at Myntra,Shopping,MERCH_1021,5,0,2025-07-13,2026-03-04
OFFER_027,Mega Rewards: Earn 5000 Reward Points at Reliance Fresh,Grocery,MERCH_0446,0,5000,2025-01-01,2025-05-16
